DISTRICT.NAME,NEIGHBORHOOD.NAME,WEEKDAY,MONTH,DAY,HOUR,PART.OF.THE.DAY,MILD.INJURIES,SERIOUS.INJURIES,VICTIMS,VEHICLES.INVOLVED,LONGITUDE,LATITUDE
Ciutat Vella,el Raval,Thursday,May,18,0,Night,3,0,3,2,2.176656,41.374429
Ciutat Vella,el Raval,Thursday,November,16,20,Afternoon,1,0,1,1,2.167196,41.380288
Ciutat Vella,el Raval,Friday,June,23,1,Night,1,0,1,1,2.170537,41.375415
Ciutat Vella,el Raval,Tuesday,July,4,19,Afternoon,1,0,1,1,2.176835,41.375294
Ciutat Vella,el Raval,Thursday,April,20,16,Afternoon,0,0,0,2,2.173452,41.375058
Ciutat Vella,el Raval,Sunday,December,10,0,Night,1,0,1,2,2.176292,41.372365
Ciutat Vella,el Raval,Saturday,May,27,15,Afternoon,1,0,1,1,2.176311,41.374766
Ciutat Vella,el Raval,Sunday,October,29,21,Afternoon,0,0,0,1,2.177624,41.374301
Ciutat Vella,el Raval,Friday,November,3,13,Morning,0,0,0,1,2.174252,41.376651
Ciutat Vella,el Barri Gòtic,Tuesday,February,28,7,Morning,3,0,3,3,2.177375,41.373978
Ciutat Vella,el Barri Gòtic,Monday,May,8,21,Afternoon,1,0,1,2,2.178907,41.383833
Ciutat Vella,el Barri Gòtic,Saturday,December,16,18,Afternoon,1,0,1,2,2.176248,41.377971
Ciutat Vella,el Barri Gòtic,Thursday,April,13,21,Afternoon,1,0,1,2,2.179138,41.377884
Ciutat Vella,el Barri Gòtic,Thursday,November,16,18,Afternoon,1,0,1,1,2.170717,41.385915
Ciutat Vella,el Barri Gòtic,Thursday,October,19,17,Afternoon,1,0,1,2,2.176835,41.375294
Ciutat Vella,el Barri Gòtic,Saturday,December,16,10,Morning,1,0,1,2,2.177378,41.375299
Ciutat Vella,el Barri Gòtic,Sunday,August,20,7,Morning,1,0,1,1,2.179935,41.377958
Ciutat Vella,el Barri Gòtic,Friday,August,4,10,Morning,0,0,0,1,2.20493,41.444642
Ciutat Vella,el Barri Gòtic,Wednesday,June,21,11,Morning,0,0,0,1,2.176728,41.382436
Ciutat Vella,el Raval,Monday,January,30,11,Morning,1,0,1,1,2.168071,41.37976
Ciutat Vella,el Raval,Saturday,April,8,3,Night,0,0,0,1,2.170357,41.384628
Ciutat Vella,el Raval,Saturday,October,14,9,Morning,2,0,2,1,2.165437,41.385956
Ciutat Vella,el Raval,Tuesday,October,31,14,Afternoon,1,0,1,1,2.165814,41.385829
Ciutat Vella,el Raval,Sunday,August,13,16,Afternoon,1,0,1,2,2.167707,41.385668
Ciutat Vella,el Raval,Wednesday,April,5,20,Afternoon,2,0,2,1,2.169344,41.385405
Ciutat Vella,el Raval,Friday,February,17,12,Morning,1,0,1,2,2.166857,41.385626
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Sunday,July,2,12,Morning,1,0,1,1,2.183262,41.38258
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Tuesday,January,17,16,Afternoon,1,0,1,1,2.186597,41.388181
Ciutat Vella,la Barceloneta,Sunday,August,13,0,Night,1,0,1,1,2.188424,41.378192
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Friday,May,12,14,Afternoon,0,0,0,1,2.186597,41.388181
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Sunday,February,19,16,Afternoon,1,0,1,1,2.183294,41.383379
Ciutat Vella,la Barceloneta,Saturday,October,21,20,Afternoon,2,0,2,1,2.188231,41.378482
Ciutat Vella,la Barceloneta,Thursday,April,13,18,Afternoon,1,0,1,2,2.2018,41.392004
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Monday,September,25,19,Afternoon,1,0,1,3,2.183891,41.381171
Ciutat Vella,la Barceloneta,Thursday,September,14,12,Morning,3,0,3,1,2.187019,41.382208
Ciutat Vella,la Barceloneta,Wednesday,May,10,18,Afternoon,1,0,1,2,2.187019,41.382208
Ciutat Vella,la Barceloneta,Friday,December,29,8,Morning,1,0,1,2,2.189087,41.38315
Ciutat Vella,la Barceloneta,Saturday,May,13,17,Afternoon,2,0,2,2,2.188342,41.381596
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Wednesday,February,8,16,Afternoon,1,0,1,5,2.183891,41.381171
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Sunday,October,15,18,Afternoon,1,0,1,2,2.182552,41.381358
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Wednesday,May,31,22,Night,0,1,1,2,2.181974,41.381016
